epoch,lr,train_loss,train_acc1,val_loss,val_acc1,val_macro_f1,val_micro_f1,val_macro_auc
1,2.0800000000000008e-05,1.7313602099473449,0.39129720853858785,1.9457864223742019,0.14215686274509803,0.1069830628699944,0.14215686274509803,0.4865520458786133
2,4.0599999999999984e-05,0.8379143394272903,0.8280788177339902,1.9372642390868242,0.16053921568627452,0.1234286895470207,0.16053921568627452,0.5208718846366268
3,6.0399999999999916e-05,0.6744825495483449,0.9029556650246305,1.9270127216974895,0.18504901960784315,0.14528459658176285,0.18504901960784315,0.5598990008692611
4,7.999374999999994e-05,0.6199455947613677,0.9238095238095239,1.914806891890133,0.22058823529411764,0.1788634347452238,0.22058823529411764,0.6015448741168747
5,9.979374999999996e-05,0.5800708902097492,0.945648604269294,1.9002541911368276,0.2549019607843137,0.20984666496863347,0.2549019607843137,0.6453092539655992
6,9.997405205118188e-05,0.5597921866501493,0.952216748768473,1.8831164766760433,0.30514705882352944,0.2607501558950221,0.30514705882352944,0.6898029170823395
7,9.989401670031086e-05,0.5388263183959403,0.9632183908045977,1.8626948337928921,0.3553921568627451,0.3117514303350971,0.3553921568627451,0.7348516680499658
8,9.975996971737368e-05,0.5246406419719577,0.9681444991789819,1.83953857421875,0.40931372549019607,0.3703245940796576,0.40931372549019607,0.7768799763786477
9,9.957205768077815e-05,0.5069965052095736,0.9778325123152709,1.8126878902023913,0.4632352941176471,0.42526473477333626,0.4632352941176471,0.8145751865639603
10,9.933048606957738e-05,0.504542874467784,0.9781609195402299,1.7821044921875,0.5318627450980392,0.5030580228478778,0.5318627450980392,0.847148431528636
11,9.903551903878152e-05,0.5010261191914626,0.9776683087027914,1.7476639116511625,0.5906862745098039,0.5648171096787468,0.5906862745098039,0.8755654207839259
12,9.868747913050801e-05,0.49113791139646507,0.9832512315270936,1.7095049713172166,0.6470588235294118,0.6254103512943147,0.6470588235294118,0.8990706598909932
13,9.82867469212868e-05,0.4858876669641786,0.9853858784893268,1.6668246400122548,0.6752450980392157,0.6528290492231934,0.6752450980392157,0.918035429625092
14,9.783376060590507e-05,0.4930180536604476,0.9812807881773399,1.6197545692032458,0.7144607843137255,0.6905062285275413,0.7144607843137255,0.9335009267594795
15,9.732901551824811e-05,0.4837689168641133,0.9858784893267651,1.568548464307598,0.7389705882352942,0.715252307424895,0.7389705882352942,0.9456023212656618
16,9.677306358965857e-05,0.4831435841684075,0.9853858784893268,1.5145197849647671,0.7634803921568627,0.7419976225606424,0.7634803921568627,0.9552504215684142
17,9.616651274540797e-05,0.476334258312075,0.9896551724137931,1.45690259512733,0.7769607843137255,0.7576556806369096,0.7769607843137255,0.9628356227983386
18,9.551002623993919e-05,0.4773311398886695,0.9885057471264368,1.3973227108226103,0.8026960784313726,0.7860335160677197,0.8026960784313726,0.9685463447626004
19,9.480432193160762e-05,0.47278213391358825,0.990311986863711,1.334301516121509,0.8161764705882353,0.7996194418963218,0.8161764705882353,0.9730788786764089
20,9.405017149771334e-05,0.46655059471506205,0.9926108374384236,1.268945434514214,0.8321078431372549,0.8158760336996282,0.8321078431372549,0.9767106801711227
21,9.32483995906836e-05,0.47511920587378376,0.9901477832512315,1.202719593749327,0.8443627450980392,0.8275002539000926,0.8443627450980392,0.979497985787912
22,9.239988293632714e-05,0.47069690669894415,0.9916256157635468,1.1359935099003362,0.8627450980392157,0.8458658053350223,0.8627450980392157,0.981742497596674
23,9.150554937514767e-05,0.47113393960132194,0.9904761904761905,1.0712085786987753,0.8651960784313726,0.8481846910653712,0.8651960784313726,0.9833636880100235
24,9.056637684776384e-05,0.4666517736289302,0.993103448275862,1.0085428275314032,0.8725490196078431,0.8564066539883467,0.8725490196078431,0.984774757816434
25,8.958339232554564e-05,0.46959192782200027,0.9926108374384236,0.9499137728821998,0.8762254901960784,0.8597867712136807,0.8762254901960784,0.9860065942277272
26,8.8557670687636e-05,0.4688076694708544,0.9926108374384236,0.8934146668396744,0.883578431372549,0.8669930666636354,0.883578431372549,0.9870206562852533
