epoch,gate_global_mean,Brown Blight_mean,Brown Blight_std,Brown Blight_n,Gray Blight_mean,Gray Blight_std,Gray Blight_n,Green mirid bug_mean,Green mirid bug_std,Green mirid bug_n,Healthy leaf_mean,Healthy leaf_std,Healthy leaf_n,Helopeltis_mean,Helopeltis_std,Helopeltis_n,Red spider_mean,Red spider_std,Red spider_n,Tea algal leaf spot_mean,Tea algal leaf spot_std,Tea algal leaf spot_n
1,0.10752172768115997,0.10985518991947174,0.007607090752571821,83,0.10903125256299973,0.00677731866016984,163,0.11059900373220444,0.005946783348917961,185,0.10064364969730377,0.00544209498912096,147,0.10713799297809601,0.006511417217552662,86,0.10721146315336227,0.007085693534463644,76,0.10829323530197144,0.0068234968930482864,76
2,0.1069488525390625,0.1094963327050209,0.007724893745034933,83,0.10847257822751999,0.0069565842859447,163,0.11032615602016449,0.006142265163362026,185,0.09933949261903763,0.0055875228717923164,147,0.1067909449338913,0.006630066782236099,86,0.10659629106521606,0.0072325849905610085,76,0.10792702436447144,0.006991800852119923,76
3,0.1072196215391159,0.11028685420751572,0.008000902831554413,83,0.10882905125617981,0.007292109075933695,163,0.11141258478164673,0.006407577078789473,185,0.09815865010023117,0.005760135594755411,147,0.1070152074098587,0.006770851090550423,86,0.10644692182540894,0.007551105692982674,76,0.10874135792255402,0.007312403991818428,76
4,0.10952100902795792,0.11376438289880753,0.008419377729296684,83,0.11128468811511993,0.008017480373382568,163,0.11511296778917313,0.007096350658684969,185,0.09777665883302689,0.006149327848106623,147,0.10867877304553986,0.0071981982327997684,86,0.10826753079891205,0.008177445270121098,76,0.11241471022367477,0.00792031828314066,76
5,0.11344700306653976,0.11959140002727509,0.009153537452220917,83,0.11567247658967972,0.009076587855815887,163,0.12081430852413177,0.008136165328323841,185,0.09788087755441666,0.006673880852758884,147,0.11142535507678986,0.007785465102642775,86,0.11154013872146606,0.009138095192611217,76,0.11833271384239197,0.008986147120594978,76
6,0.11784123629331589,0.1267486959695816,0.010468979366123676,83,0.12071892619132996,0.010744263418018818,163,0.1278303861618042,0.00979654025286436,185,0.09681213647127151,0.007305529434233904,147,0.11402218788862228,0.008763041347265244,86,0.11488181352615356,0.01059937197715044,76,0.12558144330978394,0.010632661171257496,76
7,0.12253592908382416,0.13561055064201355,0.012099684216082096,83,0.12607653439044952,0.012879875488579273,163,0.1352110207080841,0.01176763977855444,185,0.09467507898807526,0.008029180578887463,147,0.11675457656383514,0.010063334368169308,86,0.11813836544752121,0.012430318631231785,76,0.13463793694972992,0.012522228993475437,76
8,0.12909908592700958,0.1474028378725052,0.014704614877700806,83,0.13323600590229034,0.015797516331076622,163,0.1449522227048874,0.014356174506247044,185,0.0930757075548172,0.008824885822832584,147,0.12059979140758514,0.012009681202471256,86,0.12304124981164932,0.014854594133794308,76,0.14699916541576385,0.015002336353063583,76
9,0.13685756921768188,0.1618637591600418,0.018735896795988083,83,0.14106348156929016,0.019649231806397438,163,0.15671420097351074,0.018192308023571968,185,0.09126624464988708,0.009667820297181606,147,0.12445636093616486,0.014583338983356953,86,0.12861071527004242,0.017917562276124954,76,0.16265547275543213,0.018498849123716354,76
10,0.14568957686424255,0.17824618518352509,0.024182230234146118,83,0.14914296567440033,0.024485602974891663,163,0.17113399505615234,0.02322700060904026,185,0.08906690031290054,0.010428857058286667,147,0.12880688905715942,0.017854593694210052,86,0.13445161283016205,0.021711090579628944,76,0.18065281212329865,0.02297094464302063,76
11,0.15560445189476013,0.1978745013475418,0.03116193786263466,83,0.15917257964611053,0.030227642506361008,163,0.18646174669265747,0.02932688780128956,185,0.08670085668563843,0.011087332852184772,147,0.1323646754026413,0.021893929690122604,86,0.14056235551834106,0.026288164779543877,76,0.2012891322374344,0.028662046417593956,76
12,0.16668544709682465,0.2179337441921234,0.03869639337062836,83,0.16944631934165955,0.0365707203745842,163,0.20431502163410187,0.03638383001089096,185,0.08532465994358063,0.01167104672640562,147,0.1365349292755127,0.026777418330311775,86,0.14794360101222992,0.03133460134267807,76,0.22342561185359955,0.03513079136610031,76
13,0.17759858071804047,0.23818418383598328,0.04677525907754898,83,0.17937558889389038,0.04312441498041153,163,0.22264239192008972,0.044508304446935654,185,0.08406637609004974,0.01216905191540718,147,0.13904589414596558,0.03215400502085686,86,0.15454502403736115,0.0366937592625618,76,0.24556531012058258,0.042810551822185516,76
14,0.18964019417762756,0.26109370589256287,0.055989883840084076,83,0.19024920463562012,0.050650130957365036,163,0.24340589344501495,0.05426287651062012,185,0.08241739124059677,0.012559868395328522,147,0.14108772575855255,0.03816809132695198,86,0.16233745217323303,0.04267130419611931,76,0.26905742287635803,0.05276336520910263,76
15,0.20156355202198029,0.28343698382377625,0.06595058739185333,83,0.20004777610301971,0.05828490108251572,163,0.2655332684516907,0.06483160704374313,185,0.08078501373529434,0.012901684269309044,147,0.14420832693576813,0.04470587894320488,86,0.16832292079925537,0.04885449260473251,76,0.2914380431175232,0.06383917480707169,76
16,0.21338443458080292,0.30598172545433044,0.07561635971069336,83,0.21075139939785004,0.0653216540813446,163,0.2860351502895355,0.07612407207489014,185,0.08000463247299194,0.013194686733186245,147,0.14618204534053802,0.05132269486784935,86,0.17519499361515045,0.0550510436296463,76,0.31327739357948303,0.0760778933763504,76
17,0.22334592044353485,0.32725727558135986,0.08545968681573868,83,0.2190847545862198,0.07232138514518738,163,0.30397289991378784,0.08834725618362427,185,0.0783095583319664,0.013390123844146729,147,0.1469825953245163,0.05818868428468704,86,0.18003925681114197,0.06127084791660309,76,0.33298853039741516,0.08917178958654404,76
18,0.23089034855365753,0.34242191910743713,0.09293832629919052,83,0.22608020901679993,0.07746145874261856,163,0.3174128234386444,0.10008510947227478,185,0.07707390934228897,0.013643188402056694,147,0.14630553126335144,0.06439772993326187,86,0.18546415865421295,0.06684624403715134,76,0.347442626953125,0.10146874934434891,76
19,0.23684991896152496,0.3567159175872803,0.10121948271989822,83,0.23012501001358032,0.08178111165761948,163,0.32936087250709534,0.11257938295602798,185,0.07520236819982529,0.013748764991760254,147,0.14388683438301086,0.07034870982170105,86,0.18846772611141205,0.0724915862083435,76,0.36141324043273926,0.11463064700365067,76
20,0.2417166829109192,0.36984068155288696,0.10912064462900162,83,0.23069791495800018,0.08512376993894577,163,0.339894562959671,0.12419141083955765,185,0.07353968173265457,0.013764092698693275,147,0.14197558164596558,0.07599154114723206,86,0.1927442103624344,0.07830818742513657,76,0.373565673828125,0.12736792862415314,76
21,0.24408100545406342,0.3783973753452301,0.11582069098949432,83,0.2278352528810501,0.08701272308826447,163,0.3494170308113098,0.13455869257450104,185,0.07111965864896774,0.013441864401102066,147,0.13884645700454712,0.08079156279563904,86,0.19510449469089508,0.08335725218057632,76,0.3784275949001312,0.13934436440467834,76
