epoch,gate_global_mean,Brown Blight_mean,Brown Blight_std,Brown Blight_n,Gray Blight_mean,Gray Blight_std,Gray Blight_n,Green mirid bug_mean,Green mirid bug_std,Green mirid bug_n,Healthy leaf_mean,Healthy leaf_std,Healthy leaf_n,Helopeltis_mean,Helopeltis_std,Helopeltis_n,Red spider_mean,Red spider_std,Red spider_n,Tea algal leaf spot_mean,Tea algal leaf spot_std,Tea algal leaf spot_n
1,0.1250094175338745,0.12216737866401672,0.00987367331981659,83,0.12475099414587021,0.008601745590567589,163,0.1253606081008911,0.006220883224159479,185,0.12803804874420166,0.007698419038206339,147,0.12118175625801086,0.007271258160471916,86,0.12611469626426697,0.007943599484860897,76,0.1251806914806366,0.00764375040307641,76
2,0.1255072057247162,0.12261374294757843,0.010170734487473965,83,0.1251640021800995,0.008802291937172413,163,0.12562453746795654,0.006360230036079884,185,0.12895357608795166,0.007863078266382217,147,0.12148550897836685,0.007431302685290575,86,0.12672746181488037,0.008258190006017685,76,0.12578220665454865,0.007849141024053097,76
3,0.12702029943466187,0.12460363656282425,0.010914194397628307,83,0.1263723522424698,0.00928724929690361,163,0.12757766246795654,0.0067572807893157005,185,0.12980516254901886,0.008040880784392357,147,0.12233716249465942,0.007747104857116938,86,0.12827983498573303,0.008810347877442837,76,0.12834568321704865,0.008426387794315815,76
4,0.12986493110656738,0.1286591738462448,0.012175457552075386,83,0.12892010807991028,0.010091185569763184,163,0.13131070137023926,0.007546860259026289,185,0.1308942586183548,0.008265278302133083,147,0.12398795038461685,0.00815733615309,86,0.13086821138858795,0.009794357232749462,76,0.13334494829177856,0.009511968120932579,76
5,0.13348859548568726,0.1345619261264801,0.013812539167702198,83,0.1319497674703598,0.011222057975828648,163,0.13615459203720093,0.008881631307303905,185,0.13143692910671234,0.00864256639033556,147,0.12627393007278442,0.008856124244630337,86,0.13399064540863037,0.011217270977795124,76,0.1407575160264969,0.011291712522506714,76
6,0.14022693037986755,0.14566002786159515,0.0167827345430851,83,0.13822515308856964,0.013496019877493382,163,0.1441868096590042,0.011459766887128353,185,0.13268254697322845,0.009646957740187645,147,0.1305840015411377,0.010442445985972881,86,0.14113254845142365,0.013487113639712334,76,0.15354597568511963,0.014461384154856205,76
7,0.14949177205562592,0.16108721494674683,0.020966995507478714,83,0.14657312631607056,0.01681789755821228,163,0.1553179770708084,0.015399761497974396,185,0.13426239788532257,0.01126610953360796,147,0.13647957146167755,0.013030698522925377,86,0.15091906487941742,0.01682150363922119,76,0.17165976762771606,0.019449271261692047,76
8,0.15880121290683746,0.17918157577514648,0.02641100063920021,83,0.15502630174160004,0.02100452408194542,163,0.1663762331008911,0.02011829987168312,185,0.13364830613136292,0.013058066368103027,147,0.14110121130943298,0.016285259276628494,86,0.16001249849796295,0.021010927855968475,76,0.1936693638563156,0.026393502950668335,76
9,0.1692904233932495,0.20201975107192993,0.03354615718126297,83,0.16425758600234985,0.02611488290131092,163,0.17792704701423645,0.025552334263920784,185,0.13195635378360748,0.01528817880898714,147,0.1459762156009674,0.020151961594820023,86,0.17076994478702545,0.026004157960414886,76,0.22043168544769287,0.03502487763762474,76
10,0.1805192530155182,0.22989590466022491,0.04214900732040405,83,0.17515666782855988,0.03273777663707733,163,0.19142043590545654,0.031840693205595016,185,0.12793591618537903,0.01757168397307396,147,0.14941619336605072,0.024759553372859955,86,0.1804456263780594,0.03135628253221512,76,0.24853676557540894,0.0439089834690094,76
