run,experiment,seed,perturbation,group,macro_f1,clean_contract,device
C1_s2026,C1,2026,brightness_up,brightness/contrast,0.9512558621294874,tie_flip:1,cuda
C1_s2026,C1,2026,brightness_down,brightness/contrast,0.9237051716965178,tie_flip:1,cuda
C1_s2026,C1,2026,contrast_low,brightness/contrast,0.9473498531956659,tie_flip:1,cuda
C1_s2026,C1,2026,contrast_high,brightness/contrast,0.9469558898152888,tie_flip:1,cuda
C1_s2026,C1,2026,saturation_low,saturation,0.9596252366094229,tie_flip:1,cuda
C1_s2026,C1,2026,saturation_high,saturation,0.9522485519269809,tie_flip:1,cuda
C1_s2026,C1,2026,hue_pos,hue shift,0.9297669906896239,tie_flip:1,cuda
C1_s2026,C1,2026,hue_neg,hue shift,0.9264603064185717,tie_flip:1,cuda
C1_s2026,C1,2026,noise_light,gaussian noise,0.9266315104406277,tie_flip:1,cuda
C1_s2026,C1,2026,noise_heavy,gaussian noise,0.816266002519204,tie_flip:1,cuda
C1_s2026,C1,2026,blur_light,blur,0.9075686818522507,tie_flip:1,cuda
C1_s2026,C1,2026,blur_heavy,blur,0.7350840748857325,tie_flip:1,cuda
C1_s2026,C1,2026,jpeg_q60,jpeg compression,0.8914576518551296,tie_flip:1,cuda
C1_s2026,C1,2026,jpeg_q30,jpeg compression,0.8247638546274633,tie_flip:1,cuda
C1_s2026,C1,2026,shadow_left,shadow,0.9565292386455255,tie_flip:1,cuda
C1_s2026,C1,2026,shadow_right,shadow,0.9561150141541047,tie_flip:1,cuda
C1_s2026,C1,2026,wb_warm,white balance,0.9497069363029073,tie_flip:1,cuda
C1_s2026,C1,2026,wb_cool,white balance,0.9503266023097504,tie_flip:1,cuda
TLA_s2026,TLA,2026,unperturbed,unperturbed,0.9433821242220944,exact,cuda
TLA_s2026,TLA,2026,brightness_up,brightness/contrast,0.9423436582135717,exact,cuda
TLA_s2026,TLA,2026,brightness_down,brightness/contrast,0.9197142098622962,exact,cuda
TLA_s2026,TLA,2026,contrast_low,brightness/contrast,0.9426791991433141,exact,cuda
TLA_s2026,TLA,2026,contrast_high,brightness/contrast,0.9393266699791345,exact,cuda
TLA_s2026,TLA,2026,saturation_low,saturation,0.9438535279244155,exact,cuda
TLA_s2026,TLA,2026,saturation_high,saturation,0.9398350004799444,exact,cuda
TLA_s2026,TLA,2026,hue_pos,hue shift,0.9266220577732579,exact,cuda
TLA_s2026,TLA,2026,hue_neg,hue shift,0.898252345447017,exact,cuda
TLA_s2026,TLA,2026,noise_light,gaussian noise,0.9184960470908256,exact,cuda
TLA_s2026,TLA,2026,noise_heavy,gaussian noise,0.8023300348435262,exact,cuda
TLA_s2026,TLA,2026,blur_light,blur,0.8985474841979803,exact,cuda
TLA_s2026,TLA,2026,blur_heavy,blur,0.7312806313875667,exact,cuda
TLA_s2026,TLA,2026,jpeg_q60,jpeg compression,0.8945978639947639,exact,cuda
TLA_s2026,TLA,2026,jpeg_q30,jpeg compression,0.8457079891674972,exact,cuda
TLA_s2026,TLA,2026,shadow_left,shadow,0.9428163506595072,exact,cuda
TLA_s2026,TLA,2026,shadow_right,shadow,0.9495690258871526,exact,cuda
TLA_s2026,TLA,2026,wb_warm,white balance,0.945196524338126,exact,cuda
TLA_s2026,TLA,2026,wb_cool,white balance,0.9363813604272563,exact,cuda
C2_s2026,C2,2026,unperturbed,unperturbed,0.9449097502951348,exact,cuda
C2_s2026,C2,2026,brightness_up,brightness/contrast,0.9488089312920599,exact,cuda
C2_s2026,C2,2026,brightness_down,brightness/contrast,0.9180403290294317,exact,cuda
C2_s2026,C2,2026,contrast_low,brightness/contrast,0.9464126543136461,exact,cuda
C2_s2026,C2,2026,contrast_high,brightness/contrast,0.9356692441341681,exact,cuda
C2_s2026,C2,2026,saturation_low,saturation,0.9496425071883062,exact,cuda
C2_s2026,C2,2026,saturation_high,saturation,0.945401305687375,exact,cuda
C2_s2026,C2,2026,hue_pos,hue shift,0.9214561720232499,exact,cuda
C2_s2026,C2,2026,hue_neg,hue shift,0.9009344338588697,exact,cuda
C2_s2026,C2,2026,noise_light,gaussian noise,0.9188012353803743,exact,cuda
C2_s2026,C2,2026,noise_heavy,gaussian noise,0.8011680044748142,exact,cuda
C2_s2026,C2,2026,blur_light,blur,0.9093384335096919,exact,cuda
C2_s2026,C2,2026,blur_heavy,blur,0.713348316201152,exact,cuda
C2_s2026,C2,2026,jpeg_q60,jpeg compression,0.8860482628341849,exact,cuda
C2_s2026,C2,2026,jpeg_q30,jpeg compression,0.8309312699538091,exact,cuda
C2_s2026,C2,2026,shadow_left,shadow,0.9443978714642657,exact,cuda
C2_s2026,C2,2026,shadow_right,shadow,0.9465746183732123,exact,cuda
C2_s2026,C2,2026,wb_warm,white balance,0.9387820979600165,exact,cuda
C2_s2026,C2,2026,wb_cool,white balance,0.947492862956687,exact,cuda
C4_s2026,C4,2026,unperturbed,unperturbed,0.9489382190153653,exact,cuda
C4_s2026,C4,2026,brightness_up,brightness/contrast,0.9470442951496562,exact,cuda
C4_s2026,C4,2026,brightness_down,brightness/contrast,0.9146970221925264,exact,cuda
C4_s2026,C4,2026,contrast_low,brightness/contrast,0.9452936290202478,exact,cuda
C4_s2026,C4,2026,contrast_high,brightness/contrast,0.9446124898044922,exact,cuda
C4_s2026,C4,2026,saturation_low,saturation,0.9403603130115687,exact,cuda
C4_s2026,C4,2026,saturation_high,saturation,0.9449132852588209,exact,cuda
C4_s2026,C4,2026,hue_pos,hue shift,0.9204765199270006,exact,cuda
C4_s2026,C4,2026,hue_neg,hue shift,0.8848611734714116,exact,cuda
C4_s2026,C4,2026,noise_light,gaussian noise,0.8973474941001545,exact,cuda
C4_s2026,C4,2026,noise_heavy,gaussian noise,0.7772443520624949,exact,cuda
C4_s2026,C4,2026,blur_light,blur,0.8924095408180739,exact,cuda
C4_s2026,C4,2026,blur_heavy,blur,0.7120598012553445,exact,cuda
C4_s2026,C4,2026,jpeg_q60,jpeg compression,0.8672207202964247,exact,cuda
C4_s2026,C4,2026,jpeg_q30,jpeg compression,0.802033729913971,exact,cuda
C4_s2026,C4,2026,shadow_left,shadow,0.9434727031753759,exact,cuda
C4_s2026,C4,2026,shadow_right,shadow,0.9461255764149585,exact,cuda
C4_s2026,C4,2026,wb_warm,white balance,0.9392286552660857,exact,cuda
C4_s2026,C4,2026,wb_cool,white balance,0.9433629212087797,exact,cuda
