run,experiment,seed,perturbation,group,macro_f1
TLA_s42,TLA,42,contrast_high,brightness/contrast,0.9411183422351489
TLA_s42,TLA,42,saturation_low,saturation,0.948944659460517
TLA_s42,TLA,42,saturation_high,saturation,0.9530057151471162
TLA_s42,TLA,42,hue_pos,hue shift,0.9259031006374897
TLA_s42,TLA,42,hue_neg,hue shift,0.9095220881958568
TLA_s42,TLA,42,noise_light,gaussian noise,0.9221966076958956
TLA_s42,TLA,42,noise_heavy,gaussian noise,0.8025799229717657
TLA_s42,TLA,42,blur_light,blur,0.8899950420017364
TLA_s42,TLA,42,blur_heavy,blur,0.7131338547854996
TLA_s42,TLA,42,jpeg_q60,jpeg compression,0.8727412222208748
TLA_s42,TLA,42,jpeg_q30,jpeg compression,0.8276423122666482
TLA_s42,TLA,42,shadow_left,shadow,0.9511724148089221
TLA_s42,TLA,42,shadow_right,shadow,0.9562373725071659
TLA_s42,TLA,42,wb_warm,white balance,0.9521699135545177
TLA_s42,TLA,42,wb_cool,white balance,0.948492687556319
C2_s42,C2,42,unperturbed,unperturbed,0.9586878638613723
C2_s42,C2,42,brightness_up,brightness/contrast,0.955861668726319
C2_s42,C2,42,brightness_down,brightness/contrast,0.9172353197093857
C2_s42,C2,42,contrast_low,brightness/contrast,0.9558634703937315
C2_s42,C2,42,contrast_high,brightness/contrast,0.9458118158616358
C2_s42,C2,42,saturation_low,saturation,0.9636450722344488
C2_s42,C2,42,saturation_high,saturation,0.9586001936583765
C2_s42,C2,42,hue_pos,hue shift,0.9309826876819273
C2_s42,C2,42,hue_neg,hue shift,0.9130207349910007
C2_s42,C2,42,noise_light,gaussian noise,0.928555531222995
C2_s42,C2,42,noise_heavy,gaussian noise,0.7819071417013729
C2_s42,C2,42,blur_light,blur,0.9165011244931544
C2_s42,C2,42,blur_heavy,blur,0.7522578691065521
C2_s42,C2,42,jpeg_q60,jpeg compression,0.8848856614437901
C2_s42,C2,42,jpeg_q30,jpeg compression,0.822110264311125
C2_s42,C2,42,shadow_left,shadow,0.9584916751737774
C2_s42,C2,42,shadow_right,shadow,0.9556397560384534
C2_s42,C2,42,wb_warm,white balance,0.9524091628131307
C2_s42,C2,42,wb_cool,white balance,0.9602155032489114
C4_s42,C4,42,unperturbed,unperturbed,0.9478971698067499
C4_s42,C4,42,brightness_up,brightness/contrast,0.9499147811310207
C4_s42,C4,42,brightness_down,brightness/contrast,0.9186961626697524
C4_s42,C4,42,contrast_low,brightness/contrast,0.9476474807192176
C4_s42,C4,42,contrast_high,brightness/contrast,0.9497352709393297
C4_s42,C4,42,saturation_low,saturation,0.947353775434624
C4_s42,C4,42,saturation_high,saturation,0.9568736288242549
C4_s42,C4,42,hue_pos,hue shift,0.9274902042251651
C4_s42,C4,42,hue_neg,hue shift,0.9075865170705323
C4_s42,C4,42,noise_light,gaussian noise,0.9190491088709162
C4_s42,C4,42,noise_heavy,gaussian noise,0.7889903607246396
C4_s42,C4,42,blur_light,blur,0.9035129950752723
C4_s42,C4,42,blur_heavy,blur,0.7690274923839802
C4_s42,C4,42,jpeg_q60,jpeg compression,0.8839457388145727
C4_s42,C4,42,jpeg_q30,jpeg compression,0.8321450999985399
C4_s42,C4,42,shadow_left,shadow,0.9488769879753068
C4_s42,C4,42,shadow_right,shadow,0.9490424879675808
C4_s42,C4,42,wb_warm,white balance,0.9554989416952989
C4_s42,C4,42,wb_cool,white balance,0.9513033752239249
