epoch,gate_global_mean,Brown Blight_mean,Brown Blight_std,Brown Blight_n,Gray Blight_mean,Gray Blight_std,Gray Blight_n,Green mirid bug_mean,Green mirid bug_std,Green mirid bug_n,Healthy leaf_mean,Healthy leaf_std,Healthy leaf_n,Helopeltis_mean,Helopeltis_std,Helopeltis_n,Red spider_mean,Red spider_std,Red spider_n,Tea algal leaf spot_mean,Tea algal leaf spot_std,Tea algal leaf spot_n
1,0.1207558885216713,0.11903399974107742,0.007602729834616184,83,0.12315396964550018,0.0073927342891693115,163,0.11771140992641449,0.00745045393705368,185,0.12245645374059677,0.007555139251053333,147,0.12193972617387772,0.008075915277004242,86,0.12252968549728394,0.006718745455145836,76,0.11850136518478394,0.009185454808175564,76
2,0.12144380807876587,0.12015984207391739,0.00792113970965147,83,0.12425746768712997,0.007609960623085499,163,0.11823466420173645,0.007678396999835968,185,0.12285380810499191,0.007605372928082943,147,0.12227896600961685,0.008355481550097466,86,0.12287741899490356,0.006809841375797987,76,0.11951727420091629,0.009504404850304127,76
3,0.12227548658847809,0.12177837640047073,0.008303479291498661,83,0.1254512071609497,0.0077867391519248486,163,0.1190604567527771,0.007860264740884304,185,0.12295635789632797,0.0076969098299741745,147,0.12239819765090942,0.008619094267487526,86,0.12329824268817902,0.006882821675390005,76,0.12135475873947144,0.009832577779889107,76
4,0.12449070066213608,0.12480880320072174,0.008794549852609634,83,0.1279289424419403,0.008275296539068222,163,0.12205018848180771,0.008240271359682083,185,0.12387188524007797,0.008013388141989708,147,0.12392266094684601,0.008869525976479053,86,0.12432058155536652,0.007040347438305616,76,0.12471971660852432,0.010370580479502678,76
5,0.12732943892478943,0.12895993888378143,0.00944553967565298,83,0.13092003762722015,0.00887979194521904,163,0.1260267049074173,0.008804078213870525,185,0.12473177909851074,0.008338824845850468,147,0.1257430613040924,0.008973786607384682,86,0.12577980756759644,0.007347055245190859,76,0.12938810884952545,0.011055709794163704,76
6,0.13116732239723206,0.13477151095867157,0.010449986904859543,83,0.1350906491279602,0.009963560849428177,163,0.13137899339199066,0.009838617406785488,185,0.12544095516204834,0.00876707211136818,147,0.1281844675540924,0.009001470170915127,86,0.1284027099609375,0.007890692912042141,76,0.13551731407642365,0.011965218931436539,76
7,0.1361837238073349,0.14194424450397491,0.011982982978224754,83,0.14016443490982056,0.011786342598497868,163,0.13897705078125,0.011529035866260529,185,0.1266217976808548,0.009437798522412777,147,0.13164998590946198,0.009380407631397247,86,0.1310625523328781,0.00892981793731451,76,0.14330171048641205,0.01337459497153759,76
8,0.14151637256145477,0.15049651265144348,0.014182611368596554,83,0.14506745338439941,0.014342035166919231,163,0.14796802401542664,0.014030537568032742,185,0.12684807181358337,0.010126873850822449,147,0.13446684181690216,0.010166526772081852,86,0.13331282138824463,0.01042985264211893,76,0.15294045209884644,0.015539690852165222,76
9,0.14755353331565857,0.1602805256843567,0.017277341336011887,83,0.15055201947689056,0.01768116094172001,163,0.1581110805273056,0.01737688109278679,185,0.12761040031909943,0.010926099494099617,147,0.13697637617588043,0.011706620454788208,86,0.1354827880859375,0.01257101260125637,76,0.16413798928260803,0.01862969808280468,76
10,0.1547166407108307,0.1735619306564331,0.022059984505176544,83,0.15716440975666046,0.022096866741776466,163,0.17010101675987244,0.0222710520029068,185,0.12783169746398926,0.011741249822080135,147,0.13859522342681885,0.014195813797414303,86,0.13736362755298615,0.015274462290108204,76,0.1790337860584259,0.023695824667811394,76
11,0.16163837909698486,0.18734557926654816,0.02776583470404148,83,0.16326792538166046,0.02716616913676262,163,0.18231959640979767,0.028249938040971756,185,0.12690579891204834,0.012472724542021751,147,0.13957463204860687,0.017421972006559372,86,0.1387610137462616,0.018169840797781944,76,0.1947503387928009,0.03016810119152069,76
12,0.1685493290424347,0.20197194814682007,0.03511407971382141,83,0.16840535402297974,0.032993000000715256,163,0.1963009387254715,0.035809021443128586,185,0.124802365899086,0.013046366162598133,147,0.13989116251468658,0.021303044632077217,86,0.13877949118614197,0.02130727469921112,76,0.21161852777004242,0.03920210897922516,76
13,0.1768607348203659,0.21849408745765686,0.043670326471328735,83,0.17492826282978058,0.03890595957636833,163,0.21177220344543457,0.04447786882519722,185,0.12385942786931992,0.013803250156342983,147,0.14078254997730255,0.026036713272333145,86,0.14075107872486115,0.024814896285533905,76,0.2300061732530594,0.04979235678911209,76
14,0.18530139327049255,0.23542951047420502,0.0537322461605072,83,0.18229852616786957,0.0453045554459095,163,0.22778452932834625,0.05461418628692627,185,0.12240912020206451,0.014658723957836628,147,0.14107780158519745,0.03173629939556122,86,0.1415686309337616,0.02872401662170887,76,0.2490057647228241,0.06324063241481781,76
15,0.1927298754453659,0.24917419254779816,0.06528837233781815,83,0.18735021352767944,0.05151267349720001,163,0.24505285918712616,0.0658528208732605,185,0.12000715732574463,0.01555584091693163,147,0.14195500314235687,0.037802569568157196,86,0.14113818109035492,0.03260410577058792,76,0.26496806740760803,0.07830514758825302,76
16,0.19817928969860077,0.2583662271499634,0.07799676805734634,83,0.18970587849617004,0.05712883546948433,163,0.26054391264915466,0.0783233493566513,185,0.11832142621278763,0.016354845836758614,147,0.14085139334201813,0.04414190724492073,86,0.14041057229042053,0.03629644960165024,76,0.2759150564670563,0.09525469690561295,76
17,0.20216983556747437,0.2647337317466736,0.09201423078775406,83,0.19006459414958954,0.06221231818199158,163,0.27596303820610046,0.09181156754493713,185,0.11529084295034409,0.01713338866829872,147,0.13923963904380798,0.05064971372485161,86,0.13907261192798615,0.03967693820595741,76,0.28252771496772766,0.11357253789901733,76
18,0.20314288139343262,0.26748913526535034,0.1066664531826973,83,0.18829719722270966,0.06597284972667694,163,0.2891901731491089,0.10481861233711243,185,0.10894650965929031,0.017386984080076218,147,0.13610485196113586,0.0561988428235054,86,0.13445402681827545,0.04201493784785271,76,0.28199607133865356,0.13241827487945557,76
19,0.20292147994041443,0.26756855845451355,0.12054318189620972,83,0.1853712648153305,0.0681358277797699,163,0.29815641045570374,0.11785479635000229,185,0.10426922142505646,0.017494987696409225,147,0.13307367265224457,0.06095100939273834,86,0.13049878180027008,0.043645553290843964,76,0.28041398525238037,0.15149378776550293,76
20,0.1992611289024353,0.2648955285549164,0.13447873294353485,83,0.1804652363061905,0.06905671209096909,163,0.2990996539592743,0.1286025494337082,185,0.09831497073173523,0.01704278774559498,147,0.1283973902463913,0.06381607055664062,86,0.12532846629619598,0.0437607616186142,76,0.27423739433288574,0.16985128819942474,76
21,0.19432300329208374,0.2566101849079132,0.14482340216636658,83,0.17399288713932037,0.06851471215486526,163,0.30042362213134766,0.13833115994930267,185,0.09163660556077957,0.016213731840252876,147,0.12326830625534058,0.06540679186582565,86,0.12028985470533371,0.04301351308822632,76,0.2646845877170563,0.18559668958187103,76
22,0.18834708631038666,0.24970439076423645,0.15364685654640198,83,0.16579319536685944,0.06654255092144012,163,0.29550912976264954,0.1464090645313263,185,0.08600310236215591,0.015256053768098354,147,0.11843552440404892,0.06597763299942017,86,0.11631975322961807,0.042040299624204636,76,0.25794821977615356,0.20000770688056946,76
23,0.18360167741775513,0.2423110455274582,0.16150040924549103,83,0.15838885307312012,0.0646456852555275,163,0.29445570707321167,0.1534372866153717,185,0.08097828924655914,0.014188197441399097,147,0.11359813809394836,0.06644292175769806,86,0.11305437237024307,0.04102358967065811,76,0.25197482109069824,0.21235549449920654,76
24,0.17701473832130432,0.23194536566734314,0.16667617857456207,83,0.14882917702198029,0.06121673062443733,163,0.2903328537940979,0.15879274904727936,185,0.07638093084096909,0.013014089316129684,147,0.10804606229066849,0.0656222477555275,86,0.10867791622877121,0.03925345465540886,76,0.24266253411769867,0.22037911415100098,76
25,0.17117717862129211,0.2230743020772934,0.17178994417190552,83,0.13956156373023987,0.05746632069349289,163,0.28848662972450256,0.16440215706825256,185,0.07178211957216263,0.012004951946437359,147,0.10212743282318115,0.06420393288135529,86,0.10373406857252121,0.037395406514406204,76,0.23458059132099152,0.22717982530593872,76
26,0.16751842200756073,0.22039794921875,0.17705585062503815,83,0.13330528140068054,0.05535372719168663,163,0.2877791225910187,0.17025141417980194,185,0.06816235929727554,0.011244622059166431,147,0.0962272435426712,0.06336288154125214,86,0.09966037422418594,0.03603104129433632,76,0.2311120331287384,0.23345273733139038,76
27,0.16119414567947388,0.214691162109375,0.17919668555259705,83,0.12567512691020966,0.05277494713664055,163,0.28026536107063293,0.17356950044631958,185,0.06393847614526749,0.010665934532880783,147,0.08991684764623642,0.06156294792890549,86,0.09417805075645447,0.0342303141951561,76,0.22488924860954285,0.23601636290550232,76
28,0.15854959189891815,0.2120659202337265,0.18219438195228577,83,0.12131130695343018,0.05132220685482025,163,0.2793232798576355,0.17759571969509125,185,0.06243501976132393,0.010280277580022812,147,0.08644068241119385,0.06093420088291168,86,0.09009110182523727,0.03310267999768257,76,0.22194309532642365,0.23918560147285461,76
29,0.15412139892578125,0.20728348195552826,0.18236953020095825,83,0.11694429814815521,0.04936452582478523,163,0.27530285716056824,0.17993466556072235,185,0.060221146792173386,0.009660818614065647,147,0.08147305995225906,0.05847413092851639,86,0.08503080904483795,0.03119567036628723,76,0.21373748779296875,0.2377924770116806,76
30,0.14743344485759735,0.19690051674842834,0.17877724766731262,83,0.1112869381904602,0.04665803909301758,163,0.2681671977043152,0.180852472782135,185,0.05672698840498924,0.009069671854376793,147,0.0757705345749855,0.055188845843076706,86,0.07846230268478394,0.028732188045978546,76,0.20255239307880402,0.23297880589962006,76
31,0.1429077535867691,0.18727166950702667,0.17454852163791656,83,0.10850965231657028,0.044220633804798126,163,0.2642103135585785,0.18313737213611603,185,0.0551249198615551,0.00867211353033781,147,0.07106390595436096,0.05308597907423973,86,0.07360619306564331,0.02697112038731575,76,0.19334572553634644,0.22715331614017487,76
32,0.13761897385120392,0.17609819769859314,0.16903378069400787,83,0.10631762444972992,0.041860222816467285,163,0.2595420181751251,0.18403464555740356,185,0.05265361815690994,0.008343087509274483,147,0.06634628027677536,0.050903234630823135,86,0.06822285056114197,0.02495547942817211,76,0.18033017218112946,0.2180570513010025,76
33,0.13214392960071564,0.1633896380662918,0.1622297763824463,83,0.1038125604391098,0.03948930650949478,163,0.2540125548839569,0.1841340810060501,185,0.04994793236255646,0.008000602945685387,147,0.062250182032585144,0.04908359795808792,86,0.06328080594539642,0.02312036044895649,76,0.16906757652759552,0.20902042090892792,76
