epoch,lr,train_loss,train_acc1,val_loss,val_acc1,val_macro_f1,val_micro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_macro_auc,val_gate_global_mean
1,9.976041666666671e-05,1.301481018512707,0.5917898193760263,1.9353374383028816,0.1715686274509804,0.09013790953009852,0.1715686274509804,0.11380624338398833,0.14560534358671004,0.13349896507324413,0.5384868133851098,0.1207558885216713
2,0.00019956041666666636,0.7543285971987619,0.8596059113300493,1.9230466356464462,0.19730392156862744,0.11488226864864966,0.19730392156862744,0.13755785182265162,0.24476071930678842,0.15706949037312493,0.589639081008232,0.12144380807876587
3,0.00029936041666666583,0.6787222778464381,0.8998357963875205,1.9069034352022058,0.2340686274509804,0.1525866548071886,0.2340686274509804,0.1817831266179703,0.3796486029505009,0.18715397580051837,0.6479606863595043,0.12227548658847809
4,0.0003981208333333321,0.6869316982714022,0.8954022988505748,1.8859755548776365,0.2757352941176471,0.19165904510179632,0.2757352941176471,0.22392001159684682,0.4818743521106431,0.2249404756191296,0.7111775041409037,0.12449070066213608
5,0.0004979208333333314,0.706255586844164,0.8878489326765189,1.8592888350580252,0.3247549019607843,0.24636319741193338,0.3247549019607843,0.2748747858775948,0.5728631302666997,0.2755998111195372,0.7753564853426725,0.12732943892478943
6,0.0004998692118539366,0.6964425509003387,0.8955665024630541,1.8266362185571707,0.3762254901960784,0.30455044087568733,0.3762254901960784,0.33046240102851326,0.638294168855478,0.32896225715996213,0.8338697709207737,0.13116732239723206
7,0.0004994658013480313,0.6775273749785274,0.9016420361247948,1.7873954024969363,0.42892156862745096,0.3630740191924967,0.42892156862745096,0.38807268406079565,0.6474437798834948,0.3815161088804677,0.8824510153124835,0.1361837238073349
8,0.0004987901503936306,0.6568274795911191,0.90935960591133,1.741315053958519,0.5061274509803921,0.4660014686412506,0.5061274509803921,0.48599288960213,0.6903053121874329,0.4667507050991289,0.9189767645385921,0.14151637256145477
9,0.0004978429978051345,0.6383729835057689,0.9197044334975369,1.6874557195925246,0.5980392156862745,0.5697220275694108,0.5980392156862745,0.5944260076144474,0.7367577821507529,0.5571612742344049,0.9447958463943181,0.14755353331565857
10,0.0004966253792799913,0.6419221404738027,0.9192118226600985,1.6285735508974861,0.6727941176470589,0.6359982525727196,0.6727941176470589,0.6675103395498658,0.7508445896783265,0.6310845432282015,0.9604878811366071,0.1547166407108307
11,0.0004951386262661824,0.6199788410871095,0.9288998357963876,1.5632066913679534,0.7340686274509803,0.703987465070848,0.7340686274509803,0.7311087349948021,0.7915203659237626,0.6968835683524933,0.9702592429391513,0.16163837909698486
12,0.0004933843645062987,0.6313683900731342,0.9216748768472907,1.4926739837609084,0.7892156862745098,0.7608613743086545,0.7892156862745098,0.7843639232456862,0.8265315062513026,0.757034815265189,0.9765336818493229,0.1685493290424347
13,0.0004913645122598198,0.6015082338760639,0.9380952380952381,1.4203233929241406,0.8247549019607843,0.7978406331791886,0.8247549019607843,0.8190653170140544,0.8478187179140786,0.7974367678799877,0.9809693604805021,0.1768607348203659
14,0.0004890812782055213,0.5948855758300555,0.9361247947454844,1.3477651535295974,0.8468137254901961,0.8216706099736975,0.8468137254901961,0.8417003724297175,0.859774405127005,0.821980049022102,0.9840888525090455,0.18530139327049255
15,0.00048653715902632,0.5927943939841636,0.9425287356321839,1.2740011752820481,0.8651960784313726,0.8419776474857955,0.8651960784313726,0.8612671584371845,0.8726897063125615,0.8413138873357037,0.9865358912026438,0.1927298754453659
16,0.000483734936679187,0.5797103571774337,0.9446633825944171,1.1992600384880514,0.8737745098039216,0.8506322793388182,0.8737745098039216,0.869538200938598,0.8789518229164356,0.8500639226888967,0.9884884214321144,0.19817928969860077
17,0.0004806776753531159,0.5662625938017771,0.9523809523809523,1.128811705346201,0.8823529411764706,0.859944527399049,0.8823529411764706,0.8788094125622644,0.8837770265097634,0.8612558984681824,0.9899015778244717,0.20216983556747437
18,0.00047736871811848095,0.5687012193433952,0.9505747126436782,1.0630074271968766,0.8921568627450981,0.871464293807958,0.8921568627450981,0.8894892590098276,0.8901301471264229,0.872432274725422,0.9909718606571605,0.20314288139343262
19,0.00047381168327143594,0.5496720896761601,0.9579638752052545,1.0017993391728868,0.8982843137254902,0.8784109167088212,0.8982843137254902,0.8959379807835731,0.8978110606472344,0.8792828580712634,0.9919679104918316,0.20292147994041443
20,0.0004700104603773633,0.5719300719611163,0.9500821018062398,0.9461436540472741,0.9056372549019608,0.8874915527385412,0.9056372549019608,0.9041046982018074,0.9058319320089817,0.8878603472055925,0.9926872868523258,0.1992611289024353
