epoch,gate_global_mean,Brown Blight_mean,Brown Blight_std,Brown Blight_n,Gray Blight_mean,Gray Blight_std,Gray Blight_n,Green mirid bug_mean,Green mirid bug_std,Green mirid bug_n,Healthy leaf_mean,Healthy leaf_std,Healthy leaf_n,Helopeltis_mean,Helopeltis_std,Helopeltis_n,Red spider_mean,Red spider_std,Red spider_n,Tea algal leaf spot_mean,Tea algal leaf spot_std,Tea algal leaf spot_n
1,0.12237077951431274,0.12214090675115585,0.00836276076734066,83,0.12475698441267014,0.007498871069401503,163,0.12109968811273575,0.0056997789070010185,185,0.125517338514328,0.00787260476499796,147,0.1211753636598587,0.006270535755902529,86,0.12016858905553818,0.008132059127092361,76,0.11806688457727432,0.0076346625573933125,76
2,0.12486932426691055,0.125,0.008846843615174294,83,0.12783120572566986,0.007941564545035362,163,0.1233256608247757,0.006079326383769512,185,0.12845908105373383,0.008501211181282997,147,0.12267711758613586,0.006722728721797466,86,0.12213697284460068,0.008491689339280128,76,0.12040147930383682,0.008114689961075783,76
3,0.1276700645685196,0.12861651182174683,0.009388423524796963,83,0.13108029961585999,0.008433904498815536,163,0.12624016404151917,0.006477985065430403,185,0.13099846243858337,0.009183937683701515,147,0.12419376522302628,0.007185464259237051,86,0.12428685277700424,0.008708936162292957,76,0.12368211895227432,0.008584207855165005,76
4,0.13196878135204315,0.13475900888442993,0.010395951569080353,83,0.13586987555027008,0.009197632782161236,163,0.1313413828611374,0.007330430671572685,185,0.1336757093667984,0.009782452136278152,147,0.12638606131076813,0.007737782783806324,86,0.1273755580186844,0.008828319609165192,76,0.12969087064266205,0.009291253052651882,76
5,0.13915155827999115,0.14488275349140167,0.012075057253241539,83,0.14350637793540955,0.010815826244652271,163,0.14003609120845795,0.008995609357953072,185,0.13740882277488708,0.010640060529112816,147,0.13061310350894928,0.008699300698935986,86,0.13376496732234955,0.009487963281571865,76,0.1398186981678009,0.010644295252859592,76
6,0.1451561152935028,0.1557403951883316,0.014484736137092113,83,0.15016071498394012,0.013503434136509895,163,0.14790204167366028,0.011324514634907246,185,0.13789378106594086,0.011335786432027817,147,0.13259391486644745,0.009787900373339653,86,0.13875620067119598,0.010496426373720169,76,0.15084116160869598,0.012775192968547344,76
7,0.15406455099582672,0.1727309674024582,0.018335478380322456,83,0.16000346839427948,0.017917655408382416,163,0.1590012013912201,0.014687472023069859,185,0.13790582120418549,0.01224848348647356,147,0.13618718087673187,0.011431575752794743,86,0.14646750688552856,0.01276493538171053,76,0.16800568997859955,0.016323093324899673,76
8,0.163590669631958,0.19445359706878662,0.023786017671227455,83,0.17030905187129974,0.024027105420827866,163,0.17068761587142944,0.019447987899184227,185,0.13564378023147583,0.013326938264071941,147,0.1380615234375,0.013917643576860428,86,0.1542711704969406,0.016167283058166504,76,0.19046342372894287,0.02180504985153675,76
9,0.1738525778055191,0.22028101980686188,0.031442876905202866,83,0.17998631298542023,0.03196919709444046,163,0.1848900020122528,0.026279844343662262,185,0.1303814798593521,0.014268054626882076,147,0.13936951756477356,0.01689917966723442,86,0.16188932955265045,0.02063966915011406,76,0.21819104254245758,0.02888040989637375,76
10,0.18739677965641022,0.254637211561203,0.041870903223752975,83,0.19307254254817963,0.042049527168273926,163,0.20201581716537476,0.03465037792921066,185,0.1250971555709839,0.015404971316456795,147,0.1413375437259674,0.020747914910316467,86,0.17156179249286652,0.026497704908251762,76,0.2546595633029938,0.037914857268333435,76
