epoch,lr,train_loss,train_acc1,val_loss,val_acc1,val_macro_f1,val_micro_f1,val_macro_auc
1,2.0800000000000008e-05,1.7287759273901753,0.3954022988505747,1.9457744523590685,0.14215686274509803,0.1098316911924189,0.14215686274509803,0.4870884764592399
2,4.039374999999998e-05,0.8387814065309972,0.8284072249589491,1.937634035652759,0.15808823529411764,0.12051563552761327,0.15808823529411764,0.520107518056853
3,6.0193749999999915e-05,0.6772987171151172,0.9024630541871921,1.9277008631650139,0.18504901960784315,0.14717977178738914,0.18504901960784315,0.55745161306489
4,7.978749999999994e-05,0.6192024724824088,0.9246305418719212,1.915860047527388,0.21691176470588236,0.1783198612137311,0.21691176470588236,0.5977347608059348
5,9.958749999999996e-05,0.5883483069675114,0.9377668308702791,1.9019883123098635,0.24632352941176472,0.2060207644836677,0.24632352941176472,0.6398266064337516
6,9.997405205118188e-05,0.5625260536306598,0.9509031198686371,1.8854681300181968,0.29901960784313725,0.2573422211443175,0.29901960784313725,0.6841188127768149
7,9.989401670031086e-05,0.5313098767218722,0.9661740558292282,1.8662767597273284,0.3480392156862745,0.3054270446209539,0.3480392156862745,0.728222731828594
8,9.975996971737368e-05,0.5275609136214985,0.9684729064039409,1.843951059322731,0.4007352941176471,0.3650979824095644,0.4007352941176471,0.7705358873335237
9,9.957205768077815e-05,0.5108652975171658,0.9753694581280788,1.8179835922577803,0.4571078431372549,0.4161999670671714,0.4571078431372549,0.8096356822685598
10,9.933048606957738e-05,0.5128853112703865,0.9752052545155994,1.7886879140255498,0.5171568627450981,0.4872915609640308,0.5171568627450981,0.8430868159842453
11,9.903551903878152e-05,0.4981368933992433,0.9801313628899836,1.7554788051867019,0.5870098039215687,0.5636760691671668,0.5870098039215687,0.8725104065267698
12,9.868747913050801e-05,0.49759447138101986,0.9812807881773399,1.7179673115412395,0.6348039215686274,0.6127641606420546,0.6348039215686274,0.897369481818665
13,9.82867469212868e-05,0.49073306695972563,0.9809523809523809,1.6772018110050875,0.6740196078431373,0.6517881510886445,0.6740196078431373,0.9166947694373724
14,9.783376060590507e-05,0.4819953717915295,0.987192118226601,1.633157171455084,0.7058823529411765,0.6810451373152558,0.7058823529411765,0.9327714196913997
15,9.732901551824811e-05,0.4788592765679696,0.9886699507389163,1.5849011014489567,0.7365196078431373,0.7136428587563168,0.7365196078431373,0.9455785244191616
16,9.677306358965857e-05,0.47917404684722914,0.9880131362889983,1.5330092486213236,0.7573529411764706,0.7362556167617813,0.7573529411764706,0.9556027805174815
