epoch,lr,train_loss,train_acc1,val_loss,val_acc1,val_macro_f1,val_micro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_macro_auc,val_gate_global_mean
1,9.768125000000003e-05,1.286649447395688,0.6101806239737274,1.9520706475949754,0.15808823529411764,0.11693689574765735,0.15808823529411764,0.11697955498193575,0.13739379122351886,0.17274048130398084,0.5650280403222563,0.1193685308098793
2,0.00019748124999999973,0.7211993037773471,0.8755336617405582,1.9400407356374405,0.18872549019607843,0.1383971844339224,0.18872549019607843,0.1425259186274915,0.18017170021134396,0.20045541224926816,0.6163471181498796,0.11940278857946396
3,0.00029728124999999915,0.6812452160666141,0.8988505747126436,1.9236246744791667,0.23529411764705882,0.17606124516274999,0.23529411764705882,0.18199381930986688,0.35257107429052886,0.24428889224343123,0.6739577328551828,0.1194416880607605
4,0.00039708124999999876,0.6790742383018894,0.8978653530377668,1.9027458663080252,0.27941176470588236,0.21394952451827803,0.27941176470588236,0.22472652806588844,0.4083165861838687,0.2833772728479597,0.7344147319068536,0.11949524283409119
5,0.000496881249999998,0.6785620144826829,0.8985221674876848,1.8759729721966911,0.33700980392156865,0.2751539548081873,0.33700980392156865,0.28432115651817286,0.4770908655976128,0.3454353920386148,0.7923199852875863,0.11954400688409805
6,0.0004998719795419799,0.6853508829874749,0.8991789819376026,1.8433730158151365,0.3872549019607843,0.3262219980176514,0.3872549019607843,0.33685858943687547,0.5278203054946896,0.39516521761522067,0.8426594514399065,0.11961394548416138
7,0.0004994714077128326,0.6833774853809714,0.9,1.8034189285016526,0.44730392156862747,0.39742294117347227,0.44730392156862747,0.40603129703249996,0.581984763448941,0.4590361374859894,0.8837257626459785,0.11964812874794006
8,0.0004987985893047126,0.6658172968377425,0.9075533661740558,1.756576241231432,0.5551470588235294,0.5195569058227463,0.5551470588235294,0.5359728650420111,0.6339032150184042,0.5610962121653845,0.9147849554126685,0.1196930855512619
9,0.0004978542600346716,0.6376504366816754,0.9177339901477832,1.7041757621017157,0.6262254901960784,0.6030424719009148,0.6262254901960784,0.6176445152689432,0.6840284089619157,0.6327569256006772,0.9378367708044166,0.11971619725227356
10,0.000496639452512901,0.6184295242055884,0.9269293924466339,1.644375672527388,0.678921568627451,0.657828685071245,0.678921568627451,0.6742402553986554,0.7168966744971105,0.6795158864792165,0.9545953266072935,0.11978410929441452
