experiment,n_seeds,params_m,gflops,acc1_mean,acc1_std,macro_f1_mean,macro_f1_std,macro_auc_mean,macro_auc_std
R0,3,49.135249,17.121647534,0.9467821782178217,0.0037128712871286884,0.9428256198565351,0.004653180046456382,0.9955821577090521,0.0004809736706105893
R1,3,49.670833,17.168871598,0.9463696369636964,0.00434639181223295,0.942716407837676,0.003654022465459159,0.9955880217378743,0.0014274999568194956
R2,3,49.47357,17.164864688,0.9459570957095709,0.0031146181663658477,0.9422657298244563,0.0037939410558917347,0.995372689641402,0.000944857857566944
R3,3,49.473714,17.16847736,0.9443069306930693,0.004950495049504955,0.9388469949603334,0.004381387348381459,0.9954817954179971,0.0002883473471893437
C1,3,49.135249,17.121647534,0.9587458745874587,0.0018905015243217058,0.9540625830575588,0.00255158742308733,0.9950808827980101,0.001392520784088355
TLA,3,52.680338,17.483894734,0.9562706270627063,0.006350991880503591,0.9511188214469164,0.007133818603425134,0.9957720272916601,0.0007679440831807645
C2,3,52.680338,17.469367214,0.9583333333333334,0.00622923633273166,0.9527883609006915,0.007099067098115019,0.995625236010249,0.001493610470676037
C4,3,49.136791,17.121730478,0.9525577557755774,0.0007145424123633587,0.9478557654486388,0.0011037383476644542,0.9955193433053197,0.0009627713648223484
