experiment,rgb_feature_rms_mean,rgb_feature_rms_std,hsv_embedding_rms_mean,hsv_embedding_rms_std,hsv_projected_rms_mean,hsv_projected_rms_std,hsv_projected_to_rgb_rms_mean,hsv_projected_to_rgb_rms_std,gate_mean_mean,gate_mean_std,gate_std_mean,gate_std_std,gate_min_mean,gate_min_std,gate_max_mean,gate_max_std,full_gate_delta_rms_mean,full_gate_delta_rms_std,full_gate_delta_to_rgb_rms_mean,full_gate_delta_to_rgb_rms_std,first_epoch_gate_alpha_mean,first_epoch_gate_alpha_std,first_epoch_delta_rms_mean,first_epoch_delta_rms_std,first_epoch_delta_to_rgb_rms_mean,first_epoch_delta_to_rgb_rms_std,feature_cosine_mean_mean,feature_cosine_mean_std,full_gate_logit_delta_rms_mean,full_gate_logit_delta_rms_std
R1,0.6440200805664062,0.0,0.06677910064657529,0.01746263598023752,0.06440696492791176,0.00479359630286016,0.10000769793987274,0.007443239475171268,0.1194861854116122,0.00021849465728413073,0.011130279550949732,0.0007909109372392217,0.07695889472961426,0.0005984182937646285,0.1790524125099182,0.011303721906141822,0.007734684273600578,0.0005984150141662538,0.012010004681845507,0.0009291867882463708,0.20000000000000004,0.0,0.0015469368469590943,0.00011968298428927428,0.0024020009053250155,0.00018583735473802973,0.005642155806223552,0.028843749296523283,0.0014598077978007495,0.0006971983333161603
R2,0.6440200805664062,0.0,0.05461254467566808,0.0019737840663992963,0.06076238304376602,0.000862362770458565,0.09434858461221059,0.0013390312545342106,0.12112902104854584,0.001091463529819567,0.008162732080866894,0.0006021359361997519,0.10212009151776631,0.0010659953201208822,0.14491485555966696,0.0017653763154967478,0.007377359084784985,0.00016937853549182336,0.011455169568459192,0.00026300209269015137,0.20000000000000004,0.0,0.0014754718091959755,3.387562619988183e-05,0.0022910338981697955,5.2600233520838996e-05,0.01038237102329731,0.027411723254824168,0.0011521431345803042,0.0001703029268676365
R3,0.6440200805664062,0.0,0.06677910064657529,0.01746263598023752,0.06440696492791176,0.00479359630286016,0.10000769793987274,0.007443239475171268,0.11473301301399867,0.00641326504895917,0.008026343149443468,0.0011802606717153659,0.09540063391129176,0.004686217668429057,0.13568671544392905,0.012833761302244511,0.0073929464754958945,0.00041778635676862963,0.011479372469087442,0.0006487166275482298,0.20000000000000004,0.0,0.001478589295099179,8.355735281630212e-05,0.002295874524861574,0.0001297433721505927,0.005642155806223552,0.028843749296523283,0.0013896615904135008,0.0006434712505393657
