experiment,baseline,n_seeds,mean_delta,sd_delta,positive_seeds,seeds_pointwise_ci_excludes_0
C2,C1,3,-0.001274222156867233,0.004672460435614533,2,0
C4,C1,3,-0.006206817608919946,0.003215603575539939,0,0
R1,R0,3,-0.00010921201885927267,0.006947107516951884,2,0
R2,R0,3,-0.0005598900320788655,0.005114096950187655,2,0
R3,R0,3,-0.003978624896201784,0.0071743340523094095,1,0
TLA,C1,3,-0.002943761610642285,0.004647508306699722,1,0
TLA,C2,3,-0.0016695394537750523,0.0005042941207567685,0,0
TLA,C4,3,0.0032630559982776606,0.00786240854679627,2,0
